epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,226.691,1.25075,0.63458,0.00379,0.87199,0.76923,0.856,0.38343,1.89995,1.03976,0.00539,0.0245641,0.00818803,0.0245641,0.00818803,0.0245641,0.00818803,0.0245641,0.00818803
44,231.765,1.18885,0.63375,0.00349,0.91756,1,0.92393,0.44761,1.92349,0.75786,0.00605,0.0243201,0.00810669,0.0243201,0.00810669,0.0243201,0.00810669,0.0243201,0.00810669
45,236.589,1.23092,0.64202,0.00334,0.86626,0.99675,0.90458,0.43578,1.96226,0.69724,0.00593,0.024072,0.00802398,0.024072,0.00802398,0.024072,0.00802398,0.024072,0.00802398
46,241.651,1.19353,0.56655,0.00328,0.91558,1,0.92929,0.50882,1.74746,0.59005,0.00537,0.0238199,0.00793996,0.0238199,0.00793996,0.0238199,0.00793996,0.0238199,0.00793996
47,246.414,1.14689,0.59681,0.00344,0.85972,1,0.87233,0.5662,1.38655,0.64214,0.00426,0.0235639,0.00785464,0.0235639,0.00785464,0.0235639,0.00785464,0.0235639,0.00785464
48,251.493,1.08576,0.59643,0.00331,0.86448,0.98232,0.91451,0.6152,1.25802,0.53184,0.00367,0.0233042,0.00776807,0.0233042,0.00776807,0.0233042,0.00776807,0.0233042,0.00776807
49,256.19,1.1486,0.58786,0.00359,0.92818,0.99447,0.92393,0.6196,1.29502,0.51644,0.00387,0.0230409,0.00768029,0.0230409,0.00768029,0.0230409,0.00768029,0.0230409,0.00768029
50,261.193,1.23917,0.61022,0.00364,0.86543,1,0.86679,0.60097,1.13002,0.55178,0.00286,0.022774,0.00759134,0.022774,0.00759134,0.022774,0.00759134,0.022774,0.00759134
51,265.935,1.10179,0.48668,0.0031,0.92452,1,0.92393,0.6945,1.07091,0.45877,0.00255,0.0225037,0.00750125,0.0225037,0.00750125,0.0225037,0.00750125,0.0225037,0.00750125
52,271.01,1.16379,0.55142,0.00345,0.86417,1,0.91451,0.63307,1.25622,0.52252,0.00394,0.0222302,0.00741006,0.0222302,0.00741006,0.0222302,0.00741006,0.0222302,0.00741006
53,275.737,1.19452,0.5613,0.00368,0.9143,0.92308,0.91451,0.59192,1.35754,0.53526,0.00411,0.0219535,0.00731782,0.0219535,0.00731782,0.0219535,0.00731782,0.0219535,0.00731782
54,280.834,1.14051,0.56585,0.00345,0.92479,1,0.92393,0.4829,1.80658,0.5347,0.00551,0.0216737,0.00722456,0.0216737,0.00722456,0.0216737,0.00722456,0.0216737,0.00722456
55,285.597,1.1136,0.52342,0.00318,0.92131,1,0.92393,0.57923,1.42484,0.52454,0.00413,0.021391,0.00713033,0.021391,0.00713033,0.021391,0.00713033,0.021391,0.00713033
56,290.692,1.1316,0.56987,0.00338,0.92311,1,0.92393,0.60171,1.35045,0.44363,0.00377,0.0211055,0.00703517,0.0211055,0.00703517,0.0211055,0.00703517,0.0211055,0.00703517
57,295.378,1.08311,0.4617,0.00309,0.91969,1,0.92393,0.58228,1.42504,0.48599,0.00407,0.0208173,0.00693911,0.0208173,0.00693911,0.0208173,0.00693911,0.0208173,0.00693911
58,300.386,1.25176,0.59116,0.00373,0.92411,1,0.92393,0.60613,1.33572,0.42959,0.00316,0.0205266,0.0068422,0.0205266,0.0068422,0.0205266,0.0068422,0.0205266,0.0068422
59,305.232,1.15264,0.55796,0.00319,0.92429,1,0.92393,0.55292,1.53998,0.50111,0.00417,0.0202335,0.00674449,0.0202335,0.00674449,0.0202335,0.00674449,0.0202335,0.00674449
60,310.22,1.07102,0.55933,0.00352,0.92141,1,0.92393,0.66015,1.03806,0.44268,0.00295,0.019938,0.00664601,0.019938,0.00664601,0.019938,0.00664601,0.019938,0.00664601
61,315.006,1.13276,0.51536,0.00307,0.92409,1,0.92393,0.68948,0.99833,0.40774,0.00268,0.0196404,0.00654681,0.0196404,0.00654681,0.0196404,0.00654681,0.0196404,0.00654681
62,320.015,1.09143,0.51689,0.00342,0.92446,1,0.92393,0.66917,1.11172,0.40343,0.00262,0.0193408,0.00644694,0.0193408,0.00644694,0.0193408,0.00644694,0.0193408,0.00644694
63,324.722,1.15847,0.51647,0.00336,0.92402,1,0.92393,0.57822,1.42676,0.43455,0.0035,0.0190393,0.00634643,0.0190393,0.00634643,0.0190393,0.00634643,0.0190393,0.00634643
64,329.754,1.0879,0.48835,0.00343,0.92325,1,0.92393,0.45517,1.90861,0.63971,0.00581,0.018736,0.00624533,0.018736,0.00624533,0.018736,0.00624533,0.018736,0.00624533
65,334.594,1.05026,0.53941,0.00315,0.80282,1,0.84188,0.56398,1.30139,0.78032,0.00339,0.0184311,0.00614368,0.0184311,0.00614368,0.0184311,0.00614368,0.0184311,0.00614368
66,339.61,1.10852,0.50643,0.00323,0.86005,1,0.876,0.54675,1.55505,0.7965,0.00412,0.0181246,0.00604154,0.0181246,0.00604154,0.0181246,0.00604154,0.0181246,0.00604154
67,344.471,1.10815,0.4802,0.00313,0.91644,1,0.92393,0.52619,1.54206,0.73236,0.00382,0.0178168,0.00593894,0.0178168,0.00593894,0.0178168,0.00593894,0.0178168,0.00593894
68,349.445,1.09172,0.50654,0.00327,0.9084,1,0.92393,0.56633,1.35213,0.93468,0.00335,0.0175078,0.00583593,0.0175078,0.00583593,0.0175078,0.00583593,0.0175078,0.00583593
69,354.301,1.13772,0.48954,0.00332,0.64847,0.99362,0.77952,0.49118,1.42346,1.01077,0.00387,0.0171976,0.00573255,0.0171976,0.00573255,0.0171976,0.00573255,0.0171976,0.00573255
70,359.27,1.04021,0.48282,0.00305,0.85102,1,0.91451,0.52164,1.554,0.71849,0.00415,0.0168866,0.00562885,0.0168866,0.00562885,0.0168866,0.00562885,0.0168866,0.00562885
71,364.072,1.05092,0.49075,0.00305,0.92841,0.99776,0.92393,0.61694,1.19321,0.59614,0.00309,0.0165746,0.00552488,0.0165746,0.00552488,0.0165746,0.00552488,0.0165746,0.00552488
72,369.067,1.00102,0.48347,0.00302,0.8611,1,0.91451,0.61809,1.21234,0.50115,0.00324,0.016262,0.00542068,0.016262,0.00542068,0.016262,0.00542068,0.016262,0.00542068
73,373.889,1.07655,0.49717,0.0031,0.92791,0.99078,0.92393,0.60586,1.2684,0.46137,0.0031,0.0159489,0.0053163,0.0159489,0.0053163,0.0159489,0.0053163,0.0159489,0.0053163
74,379.07,0.98032,0.41545,0.00284,0.91968,1,0.92929,0.57486,1.38098,0.51133,0.00369,0.0156353,0.00521177,0.0156353,0.00521177,0.0156353,0.00521177,0.0156353,0.00521177
75,383.844,1.1193,0.47524,0.00331,0.92081,1,0.92929,0.60247,1.37068,0.53135,0.00353,0.0153215,0.00510716,0.0153215,0.00510716,0.0153215,0.00510716,0.0153215,0.00510716
76,388.952,1.03816,0.41945,0.00295,0.92272,1,0.94571,0.66248,1.19385,0.43423,0.00267,0.0150075,0.0050025,0.0150075,0.0050025,0.0150075,0.0050025,0.0150075,0.0050025
77,393.801,1.06439,0.51416,0.00319,0.92421,1,0.95143,0.66654,1.13884,0.4755,0.00305,0.0146935,0.00489784,0.0146935,0.00489784,0.0146935,0.00489784,0.0146935,0.00489784
78,398.866,1.09856,0.47093,0.00302,0.92256,1,0.95143,0.65373,1.26477,0.44285,0.00346,0.0143797,0.00479323,0.0143797,0.00479323,0.0143797,0.00479323,0.0143797,0.00479323
79,403.682,1.05733,0.47156,0.00287,0.92391,1,0.95143,0.65875,1.19163,0.41345,0.00315,0.0140661,0.0046887,0.0140661,0.0046887,0.0140661,0.0046887,0.0140661,0.0046887
80,408.784,1.05743,0.45884,0.00312,0.92831,0.99632,0.95143,0.7235,1.04494,0.41952,0.00268,0.013753,0.00458432,0.013753,0.00458432,0.013753,0.00458432,0.013753,0.00458432
81,413.51,1.07186,0.41927,0.00306,0.92851,0.99918,0.95143,0.66552,1.15025,0.42493,0.003,0.0134404,0.00448012,0.0134404,0.00448012,0.0134404,0.00448012,0.0134404,0.00448012
82,418.593,1.05,0.44975,0.00312,0.92542,1,0.95143,0.68755,1.2301,0.40916,0.00321,0.0131284,0.00437615,0.0131284,0.00437615,0.0131284,0.00437615,0.0131284,0.00437615
83,423.442,1.09501,0.50856,0.00301,0.92773,1,0.94071,0.60901,1.46166,0.46496,0.00408,0.0128174,0.00427245,0.0128174,0.00427245,0.0128174,0.00427245,0.0128174,0.00427245
84,428.584,1.09369,0.46726,0.00333,0.92852,1,0.95143,0.65844,1.22488,0.41505,0.00291,0.0125072,0.00416907,0.0125072,0.00416907,0.0125072,0.00416907,0.0125072,0.00416907
85,433.42,1.05697,0.40446,0.00303,0.92514,1,0.95143,0.61188,1.41971,0.42602,0.00367,0.0121982,0.00406606,0.0121982,0.00406606,0.0121982,0.00406606,0.0121982,0.00406606
86,438.374,1.05293,0.44842,0.00309,0.9283,1,0.95143,0.64576,1.35539,0.42594,0.00397,0.0118904,0.00396346,0.0118904,0.00396346,0.0118904,0.00396346,0.0118904,0.00396346
87,443.115,1.10021,0.44615,0.00302,0.92536,1,0.95143,0.71393,1.11301,0.34999,0.00289,0.0115839,0.00386132,0.0115839,0.00386132,0.0115839,0.00386132,0.0115839,0.00386132
88,448.186,1.00925,0.41778,0.00298,0.9249,1,0.95143,0.72299,1.01215,0.33553,0.00283,0.011279,0.00375967,0.011279,0.00375967,0.011279,0.00375967,0.011279,0.00375967
89,453.04,0.9782,0.41324,0.0028,0.92436,1,0.95143,0.69772,1.12342,0.37638,0.00333,0.0109757,0.00365857,0.0109757,0.00365857,0.0109757,0.00365857,0.0109757,0.00365857
90,458.025,0.9492,0.37179,0.00272,0.9246,1,0.95714,0.57896,1.61222,0.47831,0.00517,0.0106742,0.00355806,0.0106742,0.00355806,0.0106742,0.00355806,0.0106742,0.00355806
